symbol,expr_mean,expr_std,expr_median,expr_max,expr_nonzero_fraction,expr_cv,expr_log1p_mean,expr_log1p_max
ENSG00000109390,589.2982456140351,220.61205161617016,561.0,1191,1.0,0.37436400542190235,6.380627910217893,7.083387847625295
ENSG00000109424,0.017543859649122806,0.13245323570650439,0.0,1,0.017543859649122806,7.549834435270751,0.017391742711869183,0.6931471805599453
ENSG00000109436,294.4736842105263,180.41401842737383,263.0,795,1.0,0.6126660143199469,5.688579777755387,6.679599185844383
ENSG00000109445,504.2280701754386,257.9331320838143,456.0,1196,1.0,0.511540605016437,6.225009951433665,7.087573705557973
ENSG00000109452,21.649122807017545,17.238341016539444,17.0,66,0.9473684210526315,0.7962604845565221,3.120121123012092,4.204692619390966
ENSG00000109458,260.2631578947368,181.94333167184124,193.0,753,1.0,0.6990744796289148,5.565528167158058,6.625392368007956
ENSG00000109466,343.7719298245614,199.79319822040446,308.0,1058,1.0,0.5811794997990841,5.842883125453989,6.9650803456014065
ENSG00000109471,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ENSG00000109472,250.01754385964912,232.28734447016805,224.0,1283,1.0,0.9290841789909184,5.525522832544358,7.157735484249907
ENSG00000109475,3477.280701754386,1056.4938941474898,3524.0,6221,1.0,0.30382761265561875,8.154293399465,8.735846677457582
ENSG00000109501,256.70175438596493,151.15743506502943,226.0,608,1.0,0.5888445734490622,5.551802925496864,6.411818267709897
ENSG00000109511,648.9298245614035,269.89659790167275,632.0,1584,1.0,0.4159102998295533,6.476864394848119,7.368339686311381
ENSG00000109519,870.1052631578947,412.98766343605956,763.0,2069,1.0,0.4746410358870755,6.7697628227741,7.635303886259415
ENSG00000109534,102.08771929824562,39.493345145441175,100.0,234,1.0,0.38685696396118696,4.635580269459218,5.459585514144159
ENSG00000109536,208.3684210526316,65.97040234046179,201.0,410,1.0,0.3166046083528098,5.344095480247477,6.018593214496234
ENSG00000109572,638.5964912280701,383.7919758173097,533.0,1533,1.0,0.6009929291644686,6.460837495059933,7.335633981927201
ENSG00000109576,621.1578947368421,343.2637360415502,540.0,1687,1.0,0.5526191310616382,6.433193910583936,7.431299675155903
ENSG00000109586,21.350877192982455,19.43808047187473,17.0,96,0.9824561403508771,0.9104113285923251,3.1068655682975583,4.574710978503383
ENSG00000109606,422.8070175438597,217.31539280473137,414.0,933,1.0,0.5139824643099455,6.0492782043187665,6.839476438228843
ENSG00000109610,66.17543859649123,54.82182920510301,49.0,262,1.0,0.8284316714450878,4.207307683642744,5.572154032177765
ENSG00000109618,552.9649122807018,283.6185167308041,547.0,1489,1.0,0.5129050875235837,6.317101349508133,7.306531398939505
ENSG00000109625,0.2982456140350877,1.085042992576491,0.0,7,0.12280701754385964,3.638085328050588,0.2610138253696196,2.0794415416798357
ENSG00000109654,259.1929824561403,199.65223681231424,192.0,850,1.0,0.7702841138690885,5.561423595907412,6.7464121285733745
ENSG00000109667,352.859649122807,215.48868370988197,312.0,886,1.0,0.6106923368698489,5.868900363113707,6.787844982309579
ENSG00000109670,131.26315789473685,65.86716240059813,123.0,298,1.0,0.5017947416244445,4.884793558377152,5.700443573390687
ENSG00000109674,1.4210526315789473,2.0524146791127746,1.0,10,0.5087719298245614,1.444291811227508,0.8842024173226545,2.3978952727983707
ENSG00000109680,22.50877192982456,15.303037521795591,21.0,67,0.9473684210526315,0.6798699444601315,3.1573736251104068,4.219507705176107
ENSG00000109684,3.280701754385965,5.354418689152619,1.0,28,0.5789473684210527,1.6320955362657716,1.4541169574586517,3.367295829986474
ENSG00000109685,208.10526315789474,107.20252599144933,181.0,501,1.0,0.5151360631860236,5.3428377766481585,6.218600119691729
ENSG00000109686,1326.5263157894738,712.0167058950824,1175.0,3657,1.0,0.5367527936838028,7.191072576489835,8.204671828950811
ENSG00000109689,138.80701754385964,73.81865777423059,129.0,312,1.0,0.5318078226909939,4.940263025563198,5.746203190540153
ENSG00000109705,0.03508771929824561,0.18563715383027588,0.0,1,0.03508771929824561,5.290658884162863,0.0344861760711693,0.6931471805599453
ENSG00000109736,72.66666666666667,49.09405453286773,56.0,193,1.0,0.6756062550394641,4.299550412849643,5.267858159063328
ENSG00000109738,8.035087719298245,10.008861988045362,6.0,63,0.8947368421052632,1.2456443958921086,2.201115632829186,4.1588830833596715
